theta0,theta1
8494.438320, -0.021398
8494.490162, -0.021398
8494.539843, -0.021399
8494.589524, -0.021399
8494.639205, -0.021400
8494.688886, -0.021400
8494.738568, -0.021401
8494.786089, -0.021401
8494.833610, -0.021402
8494.881131, -0.021402
8494.928652, -0.021403
8494.974013, -0.021403
8495.019374, -0.021403
8495.064735, -0.021404
8495.110096, -0.021404
8495.155457, -0.021405
8495.198658, -0.021405
8495.241859, -0.021406
8495.285060, -0.021406
8495.328261, -0.021407
8495.371462, -0.021407
8495.414663, -0.021407
8495.455704, -0.021408
8495.496745, -0.021408
8495.537786, -0.021409
8495.578827, -0.021409
8495.617708, -0.021409
8495.656589, -0.021410
8495.695470, -0.021410
8495.734351, -0.021411
8495.773232, -0.021411
8495.812113, -0.021411
8495.848834, -0.021412
8495.885554, -0.021412
8495.922275, -0.021412
8495.958996, -0.021413
8495.995717, -0.021413
8496.032438, -0.021413
8496.066999, -0.021414
8496.101559, -0.021414
8496.136120, -0.021414
8496.170681, -0.021415
8496.205242, -0.021415
8496.239803, -0.021416
8496.272203, -0.021416
8496.304604, -0.021416
8496.337005, -0.021416
8496.369406, -0.021417
8496.401807, -0.021417
8496.434207, -0.021417
8496.466608, -0.021418
8496.499009, -0.021418
8496.529250, -0.021418
8496.559490, -0.021419
8496.589731, -0.021419
8496.619972, -0.021419
8496.650212, -0.021420
8496.680453, -0.021420
8496.708534, -0.021420
8496.736614, -0.021420
8496.764695, -0.021421
8496.792776, -0.021421
8496.820856, -0.021421
8496.848937, -0.021422
8496.877018, -0.021422
8496.905098, -0.021422
8496.931019, -0.021422
8496.956940, -0.021423
8496.982860, -0.021423
8497.008781, -0.021423
8497.034701, -0.021423
8497.060622, -0.021424
8497.086543, -0.021424
8497.112463, -0.021424
8497.138384, -0.021424
8497.162144, -0.021425
8497.185905, -0.021425
8497.209665, -0.021425
8497.233426, -0.021425
8497.257187, -0.021426
8497.280947, -0.021426
8497.304708, -0.021426
8497.328468, -0.021426
8497.350069, -0.021427
8497.371669, -0.021427
8497.393270, -0.021427
8497.414870, -0.021427
8497.436471, -0.021427
8497.458071, -0.021428
8497.479672, -0.021428
8497.501272, -0.021428
8497.522873, -0.021428
8497.544473, -0.021428
8497.566074, -0.021429
8497.585514, -0.021429
8497.604955, -0.021429
8497.624395, -0.021429
8497.643836, -0.021429
8497.663276, -0.021430
8497.682717, -0.021430
8497.702157, -0.021430
8497.721597, -0.021430
8497.741038, -0.021430
8497.760478, -0.021431
8497.777759, -0.021431
8497.795039, -0.021431
8497.812320, -0.021431
8497.829600, -0.021431
8497.846880, -0.021431
8497.864161, -0.021432
8497.881441, -0.021432
8497.898722, -0.021432
8497.916002, -0.021432
8497.933282, -0.021432
8497.950563, -0.021432
8497.967843, -0.021433
8497.985124, -0.021433
8498.000244, -0.021433
8498.015364, -0.021433
8498.030485, -0.021433
8498.045605, -0.021433
8498.060725, -0.021434
8498.075846, -0.021434
8498.090966, -0.021434
8498.106087, -0.021434
8498.121207, -0.021434
8498.136327, -0.021434
8498.151448, -0.021434
8498.166568, -0.021435
8498.181688, -0.021435
8498.196809, -0.021435
8498.211929, -0.021435
8498.224889, -0.021435
8498.237850, -0.021435
8498.250810, -0.021435
8498.263770, -0.021436
8498.276730, -0.021436
8498.289691, -0.021436
8498.302651, -0.021436
8498.315611, -0.021436
8498.328572, -0.021436
8498.341532, -0.021436
8498.354492, -0.021436
8498.367453, -0.021437
8498.380413, -0.021437
8498.393373, -0.021437
8498.406334, -0.021437
8498.417134, -0.021437
8498.427934, -0.021437
8498.438734, -0.021437
8498.449535, -0.021437
8498.460335, -0.021437
8498.471135, -0.021438
8498.481935, -0.021438
8498.492736, -0.021438
8498.503536, -0.021438
8498.514336, -0.021438
8498.525136, -0.021438
8498.535937, -0.021438
8498.546737, -0.021438
8498.557537, -0.021438
8498.568337, -0.021439
8498.579138, -0.021439
8498.589938, -0.021439
8498.600738, -0.021439
8498.611538, -0.021439
8498.622339, -0.021439
8498.633139, -0.021439
8498.643939, -0.021439
8498.654739, -0.021439
8498.663380, -0.021440
8498.672020, -0.021440
8498.680660, -0.021440
8498.689300, -0.021440
8498.697940, -0.021440
8498.706581, -0.021440
8498.715221, -0.021440
8498.723861, -0.021440
8498.732501, -0.021440
8498.741141, -0.021440
8498.749782, -0.021440
8498.758422, -0.021440
8498.767062, -0.021441
8498.775702, -0.021441
8498.784342, -0.021441
8498.792983, -0.021441
8498.801623, -0.021441
8498.810263, -0.021441
8498.818903, -0.021441
8498.827543, -0.021441
8498.836184, -0.021441
8498.844824, -0.021441
8498.851304, -0.021441
8498.859944, -0.021441
8498.866424, -0.021442
8498.872904, -0.021442
8498.879385, -0.021442
8498.885865, -0.021442
8498.892345, -0.021442
8498.898825, -0.021442
8498.905305, -0.021442
8498.911785, -0.021442
8498.918266, -0.021442
8498.924746, -0.021442
8498.931226, -0.021442
