theta0,theta1
0.939190, -1.003236
0.939191, -1.003239
0.939192, -1.003242
0.939193, -1.003245
0.939194, -1.003248
0.939195, -1.003251
0.939196, -1.003254
0.939197, -1.003257
0.939198, -1.003260
0.939199, -1.003263
0.939200, -1.003266
0.939201, -1.003269
0.939202, -1.003272
0.939204, -1.003275
0.939205, -1.003278
0.939206, -1.003281
0.939207, -1.003284
0.939208, -1.003287
0.939209, -1.003290
0.939210, -1.003293
0.939211, -1.003296
0.939212, -1.003299
0.939213, -1.003302
0.939214, -1.003305
0.939215, -1.003308
0.939217, -1.003310
0.939218, -1.003313
0.939219, -1.003316
0.939220, -1.003318
0.939221, -1.003320
0.939222, -1.003322
0.939223, -1.003324
0.939224, -1.003326
0.939225, -1.003328
0.939226, -1.003330
0.939227, -1.003332
0.939228, -1.003334
0.939229, -1.003336
0.939230, -1.003338
0.939231, -1.003340
0.939232, -1.003342
0.939233, -1.003344
0.939233, -1.003346
0.939234, -1.003348
0.939235, -1.003350
0.939236, -1.003352
0.939236, -1.003354
0.939237, -1.003356
0.939238, -1.003358
0.939239, -1.003360
0.939239, -1.003362
0.939240, -1.003364
0.939241, -1.003366
0.939241, -1.003368
0.939242, -1.003370
0.939243, -1.003372
0.939244, -1.003374
0.939244, -1.003376
0.939245, -1.003378
0.939246, -1.003380
0.939246, -1.003382
0.939247, -1.003384
0.939248, -1.003386
0.939249, -1.003388
0.939249, -1.003390
0.939250, -1.003392
0.939251, -1.003394
0.939251, -1.003396
0.939252, -1.003398
0.939253, -1.003400
0.939254, -1.003402
0.939254, -1.003404
0.939255, -1.003406
0.939256, -1.003408
0.939257, -1.003410
0.939257, -1.003412
0.939258, -1.003414
0.939259, -1.003416
0.939259, -1.003418
0.939260, -1.003420
0.939261, -1.003422
0.939262, -1.003424
0.939262, -1.003426
0.939263, -1.003427
0.939263, -1.003429
0.939264, -1.003430
0.939264, -1.003431
0.939265, -1.003432
0.939265, -1.003433
0.939266, -1.003434
0.939266, -1.003435
0.939266, -1.003436
0.939267, -1.003437
0.939267, -1.003438
0.939267, -1.003439
0.939268, -1.003440
0.939268, -1.003441
0.939268, -1.003442
0.939269, -1.003443
0.939269, -1.003444
0.939269, -1.003445
